Million Plus Cities,T-Junction - Total number of Accidents - Numbers,T-Junction - Total number of Accidents - Rank,T-Junction - Persons Killed - Numbers,T-Junction - Persons Killed - Rank,T-Junction - Persons Injured - Greviously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Greviously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Greviously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Greviously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Greviously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Agra,61,27,29,17,25,22,47,86,27,41,35,76,85,33,39,27,66,91,17,51,44,95,113,35,46,37,83,470,373,175,91,266
Ahmedabad,96,25,31,16,46,27,73,64,30,30,13,43,154,45,78,57,135,108,32,51,34,85,121,36,42,57,99,642,166,229,122,351
Allahabad(Prayagraj),117,22,51,11,17,65,82,97,46,21,55,76,145,61,24,61,85,101,40,18,38,56,115,42,32,54,86,577,277,9,338,347
Amritsar,15,44,10,34,6,4,10,2,2,0,0,0,12,6,7,1,8,21,13,5,7,12,6,6,1,1,2,44,29,19,8,27
Asansol Durgapur,10,45,5,41,8,2,10,6,4,3,0,3,9,6,4,0,4,0,0,0,0,0,2,1,5,0,5,401,299,183,41,224
Aurangabad,22,41,10,34,9,0,9,1,0,1,0,1,33,17,18,4,22,0,0,0,0,0,5,2,3,0,3,345,107,189,69,258
Bengaluru,279,11,32,15,168,88,256,109,15,67,30,97,374,48,218,113,331,63,4,43,17,60,92,11,57,23,80,2316,536,1154,773,1927
Bhopal,321,8,29,17,33,208,241,44,4,2,23,25,174,19,29,101,130,683,42,41,493,534,72,8,10,43,53,1001,135,71,753,824
Chandigarh,19,42,9,37,4,18,22,2,1,0,1,1,29,9,0,30,30,5,3,0,1,1,27,6,2,23,25,77,25,8,61,69
Coimbatore,131,20,5,41,51,86,137,12,1,4,8,12,45,5,19,24,43,0,0,0,0,0,19,0,6,13,19,500,54,267,244,511
Chennai,433,6,65,8,89,389,478,501,110,78,445,523,384,81,88,234,322,776,212,198,500,698,697,128,119,540,659,1598,276,369,1214,1583
Delhi,487,3,141,3,34,368,402,206,60,9,155,164,367,116,29,244,273,463,152,24,328,352,192,41,7,175,182,2463,686,109,2180,2289
