Million Plus Cities,Pedestrian - Number of Road Accidents,Pedestrian - Number of Persons - Killed,Pedestrian - Number of Persons - Greviously Injured,Pedestrian - Number of Persons - Minor Injured,Bicycles - Number of Road Accidents,Bicycles - Number of Persons - Killed,Bicycles - Number of Persons - Greviously Injured,Bicycles - Number of Persons - Minor Injured,Two Wheelers - Number of Road Accidents,Two Wheelers - Number of Persons - Killed,Two Wheelers - Number of Persons - Greviously Injured,Two Wheelers - Number of Persons - Minor Injured,Auto Rickshaws - Number of Road Accidents,Auto Rickshaws - Number of Persons - Killed,Auto Rickshaws - Number of Persons - Greviously Injured,Auto Rickshaws - Number of Persons - Minor Injured,"Cars, Taxis, Vans and LMV - Number of Road Accidents","Cars, Taxis, Vans and LMV - Number of Persons - Killed","Cars, Taxis, Vans and LMV - Number of Persons - Greviously Injured","Cars, Taxis, Vans and LMV - Number of Persons - Minor Injured",Trucks/Lorries - Number of Road Accidents,Trucks/Lorries - Number of Persons - Killed,Trucks/Lorries - Number of Persons - Greviously Injured,Trucks/Lorries - Number of Persons - Minor Injured,Buses - Number of Road Accidents,Buses - Number of Persons - Killed,Buses - Number of Persons - Greviously Injured,Buses - Number of Persons - Minor Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Road Accidents,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Killed,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Greviously Injured,Other Non-motorized vehicle (E-rickshaw etc.) - Number of Persons - Minor Injured,Others - Number of Road Accidents,Others - Number of Persons - Killed,Others - Number of Persons - Greviously Injured,Others - Number of Persons - Minor Injured
Agra,66,46,47,14,58,26,35,6,364,170,146,85,52,28,20,9,124,85,47,40,50,30,37,29,34,28,10,26,95,73,13,16,63,28,22,31
Ahmedabad,398,151,157,90,41,15,20,8,562,146,265,141,88,15,20,40,83,8,14,21,3,2,0,2,2,0,0,2,0,0,0,0,8,3,0,6
Allahabad(Prayagraj),68,28,58,3,82,25,6,56,231,117,16,108,139,70,8,67,133,73,8,61,139,77,10,59,108,45,7,60,79,39,8,44,173,43,0,153
Amritsar,20,18,8,2,11,6,5,1,52,32,21,10,5,4,0,1,8,2,2,7,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0
Asansol Durgapur,188,136,66,4,48,34,11,3,46,38,14,3,0,0,0,0,45,28,38,14,73,61,42,13,11,4,24,3,0,0,0,0,17,14,8,3
Aurangabad,94,40,44,16,1,0,1,0,221,83,142,39,10,1,21,0,60,9,9,12,14,3,0,0,3,0,3,4,0,0,0,0,3,0,0,2
Bengaluru,745,163,416,194,26,5,15,6,1774,423,1111,633,77,9,30,47,483,32,102,134,81,8,24,19,15,3,6,3,23,0,2,0,9,3,1,8
Bhopal,131,25,12,68,3,0,0,3,1197,140,113,916,17,1,0,2,68,7,5,191,36,7,1,21,14,3,0,0,5,1,0,4,824,53,55,416
Chandigarh,34,12,2,23,20,10,0,14,70,23,12,53,3,0,0,8,26,3,0,28,2,1,0,5,0,0,0,0,4,4,0,3,0,0,0,0
Coimbatore,206,20,89,97,22,1,8,13,437,43,227,251,6,0,5,3,21,0,13,8,9,1,0,1,6,0,5,2,0,0,0,0,0,0,0,0
