Million Plus Cities,Traffic Light Signal - Total number of Accidents,Traffic Light Signal - Persons Killed,Traffic Light Signal - Persons Injured - Greviously Injured,Traffic Light Signal - Persons Injured - Minor Injury,Traffic Light Signal - Persons Injured - Total Injured,Police Controlled - Total number of Accidents,Police Controlled - Persons Killed,Police Controlled - Persons Injured - Greviously Injured,Police Controlled - Persons Injured - Minor Injury,Police Controlled - Persons Injured - Total Injured,Stop Sign - Total number of Accidents,Stop Sign - Persons Killed,Stop Sign - Persons Injured - Greviously Injured,Stop Sign - Persons Injured - Minor Injury,Stop Sign - Persons Injured - Total Injured,Flashing Signal/Blinker - Total number of Accidents,Flashing Signal/Blinker - Persons Killed,Flashing Signal/Blinker - Persons Injured - Greviously Injured,Flashing Signal/Blinker - Persons Injured - Minor Injury,Flashing Signal/Blinker - Persons Injured - Total Injured,Uncontrolled - Total number of Accidents - Number,Uncontrolled - Total number of Accidents - Rank,Uncontrolled - Persons Killed - Number,Uncontrolled - Persons Killed - Rank,Uncontrolled - Persons Injured - Greviously Injured,Uncontrolled - Persons Injured - Minor Injury,Uncontrolled - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Agra,66,18,30,37,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,13,123,10,172,128,300,470,373,175,91,266
Ahmedabad,58,14,41,9,50,35,13,11,13,24,8,3,3,2,5,8,3,4,1,5,434,11,141,8,188,163,351,642,166,229,122,351
Allahabad(Prayagraj),124,45,22,61,83,101,51,18,55,73,127,62,24,52,76,104,39,26,49,75,119,29,43,23,22,56,78,577,277,9,338,347
Amritsar,1,10,6,4,10,0,2,0,0,0,0,6,7,1,8,0,13,5,7,12,55,40,6,42,1,1,2,44,29,19,8,27
Asansol Durgapur,1,1,0,0,0,7,6,2,0,2,2,1,1,0,1,0,0,0,0,0,17,45,8,38,17,2,19,401,299,183,41,224
Aurangabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,38,29,29,31,4,35,345,107,189,69,258
Bengaluru,335,32,180,99,279,220,38,130,38,168,16,0,12,4,16,67,9,33,33,66,279,18,31,28,198,97,295,2316,536,1154,773,1927
Bhopal,181,18,21,103,124,101,9,11,45,56,416,26,30,295,325,33,3,0,19,19,563,9,46,19,53,406,459,1001,135,71,753,824
Chandigarh,49,17,0,43,43,1,1,0,0,0,0,0,0,0,0,15,5,4,15,19,17,45,5,45,2,15,17,77,25,8,61,69
Coimbatore,40,3,11,25,36,8,0,0,6,6,0,0,0,0,0,25,2,11,16,27,134,27,6,42,58,84,142,500,54,267,244,511
Chennai,433,65,89,389,478,501,110,78,445,523,384,81,88,234,322,776,212,198,525,723,697,7,128,9,119,515,634,1598,276,369,1214,1583
Delhi,401,98,39,300,339,62,20,5,42,47,140,37,8,110,118,171,49,6,134,140,941,5,306,2,45,684,729,2463,686,109,2180,2289
