Million Plus Cities,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving/ Consumption of alcohol and drug  - Number of Accidents,Drunken Driving/ Consumption of alcohol and drug  - Persons Killed,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Greviously Injured,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Minor Injury,Drunken Driving/ Consumption of alcohol and drug  - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Agra,495,24,279,10,202,112,314,35,29,12,9,21,98,51,56,40,96,8,3,2,7,9,16,9,8,3,11,254,143,97,85,182
Ahmedabad,1149,15,333,9,456,300,756,15,2,5,8,13,18,5,12,2,14,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Allahabad(Prayagraj),255,38,109,28,28,134,162,201,86,22,106,128,205,102,24,105,129,214,89,17,119,136,176,93,16,82,98,101,38,14,65,79
Amritsar,55,49,37,49,18,12,30,1,0,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,27,16,9,25
Asansol Durgapur,187,41,144,23,74,14,88,0,0,0,0,0,1,2,4,0,4,0,0,0,0,0,0,0,0,0,0,240,169,125,29,154
Aurangabad,367,31,111,27,205,68,273,0,0,0,0,0,12,5,5,2,7,0,0,0,0,0,0,0,0,0,0,27,20,10,3,13
Bengaluru,2993,2,596,2,1611,955,2566,27,11,10,3,13,26,1,17,4,21,15,2,10,5,15,0,0,0,0,0,172,36,59,77,136
Bhopal,1890,5,157,20,147,1374,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,80,39,247,286
Chandigarh,147,44,50,42,14,125,139,5,1,0,3,3,3,1,0,4,4,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0
Coimbatore,690,20,65,38,342,362,704,10,0,5,4,9,7,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chennai,2839,3,672,1,474,1937,2411,284,19,56,287,343,260,10,79,265,344,289,14,129,249,378,206,6,111,169,280,511,151,92,415,507
Delhi,1260,13,488,4,59,927,986,143,36,8,131,139,287,60,27,247,274,252,78,15,213,228,86,23,5,69,74,2150,511,98,1863,1961
Dhanbad,83,48,41,48,39,10,49,48,23,19,8,27,14,8,6,3,9,8,2,4,3,7,2,3,1,0,1,9,6,3,2,5
Faridabad,488,25,195,15,65,355,420,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
